"Word","Count","Gender"
"anyon",3,"Male"
"appli",3,"Male"
"area",3,"Male"
"away",3,"Male"
"balanc",3,"Male"
"becom",3,"Male"
"benefit",3,"Male"
"big",3,"Male"
"brought",3,"Male"
"capabl",3,"Male"
"capac",3,"Male"
"chang",3,"Male"
"chronic",3,"Male"
"circumst",3,"Male"
"close",3,"Male"
"compel",3,"Male"
"conscious",3,"Male"
"disclosur",3,"Male"
"earli",3,"Male"
"entir",3,"Male"
"equal",3,"Male"
"everyon",3,"Male"
"experienc",3,"Male"
"fact",3,"Male"
"hand",3,"Male"
"harm",3,"Male"
"hear",3,"Male"
"hesit",3,"Male"
"huge",3,"Male"
"ignor",3,"Male"
"imagin",3,"Male"
"individu",3,"Male"
"industri",3,"Male"
"instabl",3,"Male"
"joke",3,"Male"
"judg",3,"Male"
"knew",3,"Male"
"lack",3,"Male"
"light",3,"Male"
"main",3,"Male"
"mark",3,"Male"
"met",3,"Male"
"method",3,"Male"
"noth",3,"Male"
"problemat",3,"Male"
"proper",3,"Male"
"put",3,"Male"
"quit",3,"Male"
"real",3,"Male"
"regard",3,"Male"
"relationship",3,"Male"
"right",3,"Male"
"role",3,"Male"
"scare",3,"Male"
"shit",3,"Male"
"signific",3,"Male"
"similar",3,"Male"
"skill",3,"Male"
"somehow",3,"Male"
"start",3,"Male"
"suicid",3,"Male"
"surround",3,"Male"
"suspect",3,"Male"
"tabl",3,"Male"
"tell",3,"Male"
"therefor",3,"Male"
"unlik",3,"Male"
"unstabl",3,"Male"
"worker",3,"Male"
"worth",3,"Male"
"accomod",2,"Male"
"account",2,"Male"
"act",2,"Male"
"acut",2,"Male"
"addict",2,"Male"
"addit",2,"Male"
"admit",2,"Male"
"alon",2,"Male"
"alway",2,"Male"
"antidiscrimin",2,"Male"
"anxious",2,"Male"
"appreci",2,"Male"
"approach",2,"Male"
"asham",2,"Male"
"atmospher",2,"Male"
"automat",2,"Male"
"back",2,"Male"
"bare",2,"Male"
"basi",2,"Male"
"basic",2,"Male"
